instruction,input,response
Quelle est la date de fondation de Karmine Corp ?,,30 mars 2020 (Kameto Corp) 16 novembre 2020 (Karmine Corp)
Quels sont les sigles utilisés pour désigner Karmine Corp ?,,"KCorp, KC"
Quel est le type de Karmine Corp ?,,Club esportif
Quels sont les domaines d'activité de Karmine Corp ?,,"League of Legends, Teamfight Tactics, Rocket League, Valorant, Fortnite, Tekken 8, Street Fighter 6, autres activités récréatives et de loisirs"
Où est situé le siège de Karmine Corp ?,,Tours (de jure) Paris (de facto)
Qui sont les fondateurs de Karmine Corp ?,,"Kameto, Kotei (d), Prime"
Qui est le président de Karmine Corp depuis 2021 ?,,Kameto
Quels sont les sponsors de Karmine Corp ?,,"Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio"
Quel est le site web de Karmine Corp ?,,www.karminecorp.fr
Quel est le nom de la structure française d'esport mentionnée dans le texte ?,,Karmine Corp
Qui a formé la structure sous le nom de Kameto Corp ?,,Le duo de streamers francophones Kamel « Kameto » Kebir et Zouhair « Kotei » Darji
Quand la société par actions simplifiée a-t-elle été créée ?,,Quelques mois après le 30 mars 2020
Qui préside la société par actions simplifiée ?,,Kameto
Qui a rejoint la direction de la société le 16 novembre 2020 ?,,L'entrepreneur et rappeur français Amine « Prime » Mekri
Où est basée principalement l'entreprise ?,,Paris
Depuis quand l'entreprise dispose-t-elle de locaux à Berlin ?,,Depuis 2023
En quelle année l'entreprise est devenue club résident aux Arènes de l'Agora à Evry-Courcouronnes ?,,En 2024
Quelle section de jeu vidéo a été créée par la structure dans le monde de l'esport ?,,League of Legends
Quels titres la structure a-t-elle remportés en 2021 ?,,championne des segments de printemps et d'été 2021
Quel événement annuel est organisé par la structure pour rassembler des spectateurs ?,,Karmine Corp Experience (KCX)
Quelle est l'association à laquelle appartiennent les ultras de la Karmine Corp ?,,Le Blue Wall
Qui a annoncé la création de la structure d'e-sport Kameto Corp ?,,Kamel « Kameto » Kebir
Avec qui Kamel « Kameto » Kebir a-t-il créé la Kameto Corp ?,Zouhair « Kotei » Darji,Zouhair « Kotei » Darji
Quels sont les jeux dans lesquels la Kameto Corp a remporté des titres ?,Teamfight Tactics (TFT) et TrackMania,Teamfight Tactics (TFT) et TrackMania
Quels joueurs ont remporté les mondiaux de Teamfight Tactics (TFT) avec la Kameto Corp ?,Emre « Double61 » Demirtas,Emre « Double61 » Demirtas
Quels joueurs ont remporté un titre de champions du monde sur TrackMania avec la Kameto Corp ?,Brendan « Bren » Seve et Youen « Otaaaq » Egler,Brendan « Bren » Seve et Youen « Otaaaq » Egler
Qui a rejoint le duo en novembre 2020 comme cofondateur ?,novembre 2020,Amine « Prime » Mekri
Quelle est la nouvelle appellation de la structure après l'arrivée d'Amine « Prime » Mekri ?,Amine « Prime » Mekri,Karmine Corp
Quelle ligue la Karmine Corp a-t-elle rejoint pour la saison suivante après l'arrivée d'Amine « Prime » Mekri ?,Amine « Prime » Mekri,Ligue française de League of Legends (LFL)
Quel championnat la Karmine Corp a-t-elle remporté en 2021 ?,2021,Segment de printemps de la LFL
Quelle compétition européenne la Karmine Corp a-t-elle remporté en 2021 ?,2021,Deuxième division européenne EMEA Masters
Combien de fois la Karmine Corp a-t-elle remporté le championnat européen ?,championnat européen,Deux fois
Quel titre la Karmine Corp a-t-elle remporté pour la troisième fois en triplé en 2022 ?,2022,Segment de printemps
Quelle équipe a remporté la ligue française et les EMEA Masters en 2023?,,l'équipe a remporté la ligue française et les EMEA Masters en 2023
Combien de fois l'équipe a remporté les EMEA Masters lors du segment d'été en 2023?,,l'équipe a remporté les EMEA Masters pour la quatrième fois lors du segment d'été en 2023
Quelle ligue la section League of Legends a-t-elle rejoint en 2023?,,"la section League of Legends a rejoint la première division européenne, les League of Legends EMEA Championship (LEC) en 2023"
Avec quelle équipe la section League of Legends a-t-elle signé un accord pour acquérir une place dans la ligue fermée en 2023?,équipe danoise Astralis,la section League of Legends a signé un accord avec l'équipe danoise Astralis en 2023
Dans quelle ville la structure a-t-elle ouvert des locaux pour le développement de la section Valorant en 2023?,Berlin,la structure a ouvert des locaux à Berlin pour le développement de la section Valorant en 2023
Quel est le nom de l'événement organisé par la structure en 2021 ?,2021,Karmine Corp Experience (KCX)
Où s'est déroulée la deuxième édition du KCX en 2022 ?,2022,Palais omnisports de Paris-Bercy
Combien de spectateurs ont assisté au KCX3 en 2023 ?,2023,Plus de 28 000 spectateurs
En quelle année le club est devenu résident des Arènes de l'Agora ?,Arènes de l'Agora,2024
Quel est le nom de la nouvelle équipe du club qui a pris la place laissée vacante en LFL ?,LFL,Karmine Corp Blue
Quelle est la date de création de la structure d'e-sport Kameto Corp ?,,Le 30 mars 2020
Quels sont les noms des cinq premiers joueurs de la structure Kameto Corp ?,,"Adam « Adam » Maanane, Philippe « Akabane » Le, Ilias « Nuclearint » Bizriken, Julien « jujutw0 » Izzo et Jérémy « Helaz » François"
