,0,1,2
0,"('instruction', 'Quelle est la date de fondation de Karmine Corp ?')","('input', None)","('response', '30 mars 2020 (Kameto Corp)  16 novembre 2020 (Karmine Corp)')"
1,"('instruction', 'Quels sont les sigles utilisés pour désigner Karmine Corp ?')","('input', None)","('response', 'KCorp, KC')"
2,"('instruction', 'Où est situé le siège de Karmine Corp ?')","('input', None)","('response', 'Tours (de jure)  Paris (de facto)')"
3,"('instruction', 'Qui sont les fondateurs de Karmine Corp ?')","('input', None)","('response', 'Kameto, Kotei (d), Prime')"
4,"('instruction', 'Qui est le président actuel de Karmine Corp ?')","('input', None)","('response', 'Kameto (depuis 2021)')"
5,"('instruction', 'Quels sont les sponsors de Karmine Corp ?')","('input', None)","('response', 'Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio')"
6,"('instruction', 'Quel est le site web de Karmine Corp ?')","('input', None)","('response', 'www.karminecorp.fr')"
7,"('instruction', ""Quel est le nom de la structure d'esport mentionnée dans le texte ?"")","('input', None)","('response', 'Karmine Corp')"
8,"('instruction', 'Qui a formé la structure sous le nom de Kameto Corp ?')","('input', None)","('response', 'Le duo de streamers francophones Kamel « Kameto » Kebir et Zouhair « Kotei » Darji')"
9,"('instruction', 'Quand la société par actions simplifiée a-t-elle été créée ?')","('input', None)","('response', 'Quelques mois après le 30 mars 2020')"
10,"('instruction', 'Qui préside la société Karmine Corp ?')","('input', None)","('response', 'Kameto')"
11,"('instruction', 'Qui a rejoint la direction de Karmine Corp le 16 novembre 2020 ?')","('input', None)","('response', 'Amine « Prime » Mekri')"
12,"('instruction', ""Où est basée principalement l'entreprise Karmine Corp ?"")","('input', None)","('response', 'Paris')"
13,"('instruction', ""Depuis quand l'entreprise dispose-t-elle de locaux à Berlin ?"")","('input', None)","('response', 'Depuis 2023')"
14,"('instruction', 'Où est devenu le club résident de Karmine Corp en 2024 ?')","('input', None)","('response', ""Aux Arènes de l'Agora à Evry-Courcouronnes"")"
15,"('instruction', ""Quelle section de jeu vidéo a été créée par la structure dans le monde de l'esport ?"")","('input', None)","('response', 'League of Legends')"
16,"('instruction', 'Quels titres la structure a-t-elle remportés en 2021 ?')","('input', None)","('response', ""championne des segments de printemps et d'été 2021"")"
17,"('instruction', ""Quelle est l'initiative visant à démocratiser l'esport en France ?"")","('input', None)","('response', ""organisation d'événements annuels"")"
18,"('instruction', ""Quelle est l'association à laquelle appartiennent les ultras de la Karmine Corp ?"")","('input', None)","('response', 'Le Blue Wall')"
19,"('instruction', ""Qui a annoncé la création de la structure d'e-sport Kameto Corp ?"")","('input', None)","('response', 'Kamel « Kameto » Kebir')"
20,"('instruction', ""Avec qui Kamel « Kameto » Kebir a-t-il créé la structure d'e-sport Kameto Corp ?"")","('input', None)","('response', 'Zouhair « Kotei » Darji')"
21,"('instruction', 'Quels sont les jeux dans lesquels la Kameto Corp a remporté des titres ?')","('input', None)","('response', 'Teamfight Tactics (TFT) et TrackMania')"
22,"('instruction', 'Quels sont les noms des joueurs qui ont remporté les mondiaux de Teamfight Tactics (TFT) avec la Kameto Corp ?')","('input', None)","('response', 'Emre « Double61 » Demirtas')"
23,"('instruction', 'Qui sont les joueurs qui ont remporté un titre de champions du monde sur TrackMania avec la Kameto Corp ?')","('input', None)","('response', 'Brendan « Bren » Seve et Youen « Otaaaq » Egler')"
24,"('instruction', 'Qui a rejoint le duo en novembre 2020 comme cofondateur ?')","('input', 'novembre 2020')","('response', 'Amine « Prime » Mekri')"
25,"('instruction', 'Quelle est la nouvelle structure renommée par le duo ?')","('input', 'Karmine Corp')","('response', 'Karmine Corp')"
26,"('instruction', 'Quelle ligue la structure Karmine Corp a-t-elle rejoint pour la saison suivante ?')","('input', 'Ligue française de League of Legends (LFL)')","('response', 'Ligue française de League of Legends (LFL)')"
27,"('instruction', 'Quelle compétition la structure Karmine Corp a-t-elle remportée en 2021 ?')","('input', 'segment de printemps de la LFL')","('response', 'segment de printemps de la LFL')"
28,"('instruction', 'Quelle compétition européenne la structure Karmine Corp a-t-elle remportée en 2021 ?')","('input', 'deuxième division européenne EMEA Masters')","('response', 'deuxième division européenne EMEA Masters')"
